"Setup","Samples","MeanDistance","Sensitivity","Specificty","Precision","HaplogrepFilter","HetFilter","Group","TP","TN","FP","FN"
"117.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.9999999999999999","11","28","0","49999","0","50000"
"118.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.9999999999999999","12","28","0","49999","0","50000"
"119.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.9999999999999999","13","28","0","49999","0","50000"
"120.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.9999999999999999","14","28","0","49999","0","50000"
"121.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.9999999999999999","15","28","0","49999","0","50000"
"122.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.9999999999999999","16","28","0","49999","0","50000"
"123.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.9999999999999999","17","28","0","49999","0","50000"
"124.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.9999999999999999","18","28","0","49999","0","50000"
"125.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.9999999999999999","19","28","0","49999","0","50000"
"126.0","99999.0","6.30310303103031","0.0","1.0","0.0","0.9999999999999999","20","28","0","49999","0","50000"
"1.0","100000.0","4.54887","0.99086","0.63736","0.7320724048762468","0.5","0","8","49543","31868","18132","457"
"2.0","100000.0","4.54887","0.99086","0.6377","0.732256348103698","0.5","1","8","49543","31885","18115","457"
"3.0","100000.0","4.54887","0.9807","0.80012","0.8306933879957309","0.5","2","8","49035","40006","9994","965"
"4.0","100000.0","4.54887","0.94146","0.85494","0.8664911828590361","0.5","3","8","47073","42747","7253","2927"
"5.0","100000.0","4.54887","0.84454","0.9158","0.9093395352843637","0.5","4","8","42227","45790","4210","7773"
"6.0","100000.0","4.54887","0.68814","0.95544","0.9391838405896001","0.5","5","8","34407","47772","2228","15593"
"7.0","100000.0","4.54887","0.50336","0.98062","0.9629261200596855","0.5","6","8","25168","49031","969","24832"
"8.0","100000.0","4.54887","0.3418","0.9963","0.9892908827785818","0.5","7","8","17090","49815","185","32910"
"9.0","100000.0","4.54887","0.22112","1.0","1.0","0.5","8","8","11056","50000","0","38944"
"10.0","100000.0","4.54887","0.14084","1.0","1.0","0.5","9","8","7042","50000","0","42958"
"11.0","100000.0","4.54887","0.08134","1.0","1.0","0.5","10","8","4067","50000","0","45933"
"12.0","100000.0","4.54887","0.04514","1.0","1.0","0.5","11","8","2257","50000","0","47743"
"13.0","100000.0","4.54887","0.02166","1.0","1.0","0.5","12","8","1083","50000","0","48917"
"14.0","100000.0","4.54887","0.00972","1.0","1.0","0.5","13","8","486","50000","0","49514"
"15.0","100000.0","4.54887","0.00334","1.0","1.0","0.5","14","8","167","50000","0","49833"
"16.0","100000.0","4.54887","9.2E-4","1.0","1.0","0.5","15","8","46","50000","0","49954"
"17.0","100000.0","4.54887","2.2E-4","1.0","1.0","0.5","16","8","11","50000","0","49989"
"18.0","100000.0","4.54887","1.0E-4","1.0","1.0","0.5","17","8","5","50000","0","49995"
"19.0","100000.0","4.54887","4.0E-5","1.0","1.0","0.5","18","8","2","50000","0","49998"
"20.0","100000.0","4.54887","2.0E-5","1.0","1.0","0.5","19","8","1","50000","0","49999"
"21.0","100000.0","4.54887","0.0","1.0","0.0","0.5","20","8","0","50000","0","50000"
"22.0","100000.0","4.54887","0.95312","0.6627","0.7386122347762744","0.6","0","8","47656","33135","16865","2344"
"23.0","100000.0","4.54887","0.95312","0.66304","0.7388068956963909","0.6","1","8","47656","33152","16848","2344"
"24.0","100000.0","4.54887","0.94322","0.82056","0.8401653216468031","0.6","2","8","47161","41028","8972","2839"
"25.0","100000.0","4.54887","0.9045","0.87272","0.876640369070926","0.6","3","8","45225","43636","6364","4775"
"26.0","100000.0","4.54887","0.80892","0.93026","0.920629139826554","0.6","4","8","40446","46513","3487","9554"
"27.0","100000.0","4.54887","0.6556","0.9652","0.9495944380069525","0.6","5","8","32780","48260","1740","17220"
"28.0","100000.0","4.54887","0.47678","0.98666","0.9727821757936832","0.6","6","8","23839","49333","667","26161"
"29.0","100000.0","4.54887","0.3229","0.99842","0.9951306706114399","0.6","7","8","16145","49921","79","33855"
"30.0","100000.0","4.54887","0.20712","1.0","1.0","0.6","8","8","10356","50000","0","39644"
"31.0","100000.0","4.54887","0.13138","1.0","1.0","0.6","9","8","6569","50000","0","43431"
"32.0","100000.0","4.54887","0.07536","1.0","1.0","0.6","10","8","3768","50000","0","46232"
"33.0","100000.0","4.54887","0.04146","1.0","1.0","0.6","11","8","2073","50000","0","47927"
"34.0","100000.0","4.54887","0.01932","1.0","1.0","0.6","12","8","966","50000","0","49034"
"35.0","100000.0","4.54887","0.0084","1.0","1.0","0.6","13","8","420","50000","0","49580"
"36.0","100000.0","4.54887","0.0027","1.0","1.0","0.6","14","8","135","50000","0","49865"
"37.0","100000.0","4.54887","5.6E-4","1.0","1.0","0.6","15","8","28","50000","0","49972"
"38.0","100000.0","4.54887","4.0E-5","1.0","1.0","0.6","16","8","2","50000","0","49998"
"39.0","100000.0","4.54887","2.0E-5","1.0","1.0","0.6","17","8","1","50000","0","49999"
"40.0","100000.0","4.54887","0.0","1.0","0.0","0.6","18","8","0","50000","0","50000"
"41.0","100000.0","4.54887","0.0","1.0","0.0","0.6","19","8","0","50000","0","50000"
"42.0","100000.0","4.54887","0.0","1.0","0.0","0.6","20","8","0","50000","0","50000"
