"Setup","Samples","MeanDistance","Sensitivity","Specificty","Precision","HaplogrepFilter","HetFilter","Group","TP","TN","FP","FN"
"1.0","500000.0","8.73275","0.998352","0.859612","0.8767163707255388","0.5","0","8","249588","214903","35097","412"
"2.0","500000.0","8.73275","0.998352","0.860044","0.877049093918342","0.5","1","8","249588","215011","34989","412"
"3.0","500000.0","8.73275","0.997568","0.942272","0.9452968645763843","0.5","2","8","249392","235568","14432","608"
"4.0","500000.0","8.73275","0.995276","0.959256","0.960672573888535","0.5","3","8","248819","239814","10186","1181"
"5.0","500000.0","8.73275","0.990292","0.978572","0.9788202269402602","0.5","4","8","247573","244643","5357","2427"
"6.0","500000.0","8.73275","0.981304","0.989712","0.9896247650243245","0.5","5","8","245326","247428","2572","4674"
"7.0","500000.0","8.73275","0.969076","0.996096","0.9959875845341117","0.5","6","8","242269","249024","976","7731"
"8.0","500000.0","8.73275","0.954052","0.999252","0.9992165898617511","0.5","7","8","238513","249813","187","11487"
"9.0","500000.0","8.73275","0.9397","1.0","1.0","0.5","8","8","234925","250000","0","15075"
"10.0","500000.0","8.73275","0.921896","1.0","1.0","0.5","9","8","230474","250000","0","19526"
"11.0","500000.0","8.73275","0.902428","1.0","1.0","0.5","10","8","225607","250000","0","24393"
"12.0","500000.0","8.73275","0.876052","1.0","1.0","0.5","11","8","219013","250000","0","30987"
"13.0","500000.0","8.73275","0.844072","1.0","1.0","0.5","12","8","211018","250000","0","38982"
"14.0","500000.0","8.73275","0.801156","1.0","1.0","0.5","13","8","200289","250000","0","49711"
"15.0","500000.0","8.73275","0.74862","1.0","1.0","0.5","14","8","187155","250000","0","62845"
"16.0","500000.0","8.73275","0.683732","1.0","1.0","0.5","15","8","170933","250000","0","79067"
"17.0","500000.0","8.73275","0.606404","1.0","1.0","0.5","16","8","151601","250000","0","98399"
"18.0","500000.0","8.73275","0.523068","1.0","1.0","0.5","17","8","130767","250000","0","119233"
"19.0","500000.0","8.73275","0.430516","1.0","1.0","0.5","18","8","107629","250000","0","142371"
"20.0","500000.0","8.73275","0.344552","1.0","1.0","0.5","19","8","86138","250000","0","163862"
"21.0","500000.0","8.73275","0.269084","1.0","1.0","0.5","20","8","67271","250000","0","182729"
"22.0","500000.0","8.73275","0.990864","0.864492","0.8796951628769181","0.6","0","8","247716","216123","33877","2284"
