"Sample"	"Contamination Status"	"Overall Homoplasmies"	"Overall Heteroplasmies"	"Sample Coverage"	"Major Haplogroup"	"Major Haplogroup Quality"	"Minor Haplogroup"	"Minor Haplogroup Quality"	"Amount Major Homoplasmies"	"Amount Minor Homoplasmies"	"Amount Major Heteroplasmies"	"Amount Minor Heteroplasmies"	"Major Heteroplasmy Level"	"Minor Heteroplasmy Level"	"Distance"	"Clusters"
"HG00315.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"34"	"10"	"821"	"J1b1a1"	"1.000"	"J1b1a1"	"0.945"	"34"	"34"	"0"	"0"	" "	" "	"0"	""
"HG00318.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"11"	"11"	"800"	"H3b+16129"	"0.952"	"H3b"	"0.855"	"8"	"8"	"0"	"0"	" "	" "	"1"	""
"HG00319.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"16"	"9"	"744"	"H6a1a3"	"0.939"	"H6a1a3"	"0.887"	"14"	"14"	"0"	"0"	" "	" "	"0"	""
"HG00320.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"26"	"10"	"919"	"U5b1b1a"	"1.000"	"U5b1b1a"	"0.981"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG00321.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"29"	"9"	"969"	"U4a2"	"0.962"	"U4a"	"0.950"	"25"	"25"	"1"	"0"	"0.923"	" "	"1"	"0.923 (1);"
"HG00323.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"18"	"16"	"579"	"V1a1a"	"0.970"	"V1a1a1"	"0.961"	"17"	"17"	"0"	"1"	" "	"0.228"	"1"	"0.228 (1);"
"HG00324.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"17"	"18"	"1173"	"H13a1a1d1"	"0.977"	"H13a1a1d1"	"1.000"	"17"	"17"	"0"	"0"	" "	" "	"0"	""
"HG00325.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"15"	"11"	"1156"	"H4a1a1a"	"0.977"	"H4a1a1a"	"1.000"	"15"	"15"	"0"	"0"	" "	" "	"0"	""
"HG00326.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"32"	"11"	"1064"	"K1c1c"	"0.984"	"K1c1c"	"0.966"	"31"	"31"	"0"	"0"	" "	" "	"0"	""
"HG00327.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"12"	"5"	"480"	"H85"	"0.926"	"H85"	"0.926"	"9"	"9"	"0"	"0"	" "	" "	"0"	""
"HG00328.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"12"	"12"	"1103"	"H3b+16129"	"0.952"	"H3b+16129"	"0.821"	"9"	"9"	"0"	"0"	" "	" "	"0"	""
"HG00329.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"37"	"12"	"933"	"I2a1a"	"0.992"	"I2a1a"	"0.948"	"36"	"36"	"0"	"0"	" "	" "	"0"	""
"HG00330.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"26"	"12"	"908"	"U5b1b2"	"0.943"	"U5b1b2"	"0.901"	"25"	"25"	"0"	"0"	" "	" "	"0"	""
"HG00331.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"37"	"13"	"1363"	"K1a4a1a2b"	"0.994"	"K1a4a1a2b"	"0.982"	"36"	"36"	"0"	"0"	" "	" "	"0"	""
"HG00332.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"35"	"5"	"1764"	"J1c2c2"	"0.972"	"J1c2c2"	"0.959"	"32"	"32"	"0"	"0"	" "	" "	"0"	""
"HG00334.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"30"	"5"	"1553"	"J1c3+189"	"0.969"	"J1c3+189"	"0.953"	"28"	"28"	"0"	"0"	" "	" "	"0"	""
"HG00335.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"11"	"11"	"2637"	"H1f1"	"0.983"	"H1f1"	"0.923"	"10"	"10"	"0"	"0"	" "	" "	"0"	""
"HG00336.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"38"	"6"	"672"	"W6a"	"0.973"	"W6a"	"0.962"	"35"	"35"	"0"	"0"	" "	" "	"0"	""
"HG00337.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"35"	"9"	"2916"	"T2b4+152"	"0.946"	"T2b4+152"	"0.934"	"31"	"31"	"0"	"0"	" "	" "	"0"	""
"HG00338.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"31"	"8"	"696"	"J1c1d"	"0.971"	"J1c1d"	"0.951"	"29"	"29"	"0"	"0"	" "	" "	"0"	""
"HG00339.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"34"	"10"	"641"	"U4d1a1a"	"0.963"	"U4d1a1a"	"0.953"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"HG00341.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"26"	"8"	"1950"	"U5b1b2a"	"0.990"	"U5b1b2a"	"0.980"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG00342.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"11"	"7"	"1443"	"H1a8"	"1.000"	"H1a8"	"1.000"	"10"	"10"	"0"	"0"	" "	" "	"0"	""
"HG00343.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"16"	"9"	"843"	"H6a1a3"	"0.939"	"H6a1a3"	"0.922"	"14"	"14"	"0"	"0"	" "	" "	"0"	""
"HG00344.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"32"	"12"	"844"	"T2e1"	"0.973"	"T2e1"	"0.960"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"HG00345.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"18"	"10"	"2556"	"V1a1a"	"0.979"	"V1a1a"	"0.980"	"17"	"17"	"0"	"0"	" "	" "	"0"	""
"HG00346.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"33"	"15"	"2763"	"K1a2a2"	"0.965"	"K1a2a2"	"0.918"	"30"	"30"	"0"	"0"	" "	" "	"0"	""
"HG00349.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"36"	"8"	"2854"	"K1a4a1f"	"0.974"	"K1a4a1f"	"0.943"	"34"	"34"	"0"	"0"	" "	" "	"0"	""
"HG00350.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"11"	"7"	"2443"	"HV9"	"0.986"	"HV9"	"0.908"	"10"	"10"	"0"	"0"	" "	" "	"0"	""
"HG00351.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"28"	"3"	"1718"	"U5a2a1e"	"0.994"	"U5a2a1e"	"0.994"	"27"	"27"	"0"	"0"	" "	" "	"0"	""
"HG00353.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"12"	"12"	"2468"	"H1b1d"	"1.000"	"H1b1d"	"0.988"	"11"	"11"	"0"	"0"	" "	" "	"0"	""
"HG00355.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"32"	"6"	"2427"	"J1c2b5"	"0.979"	"J1c2b5"	"0.965"	"29"	"29"	"0"	"0"	" "	" "	"0"	""
"HG00356.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"33"	"8"	"2835"	"T2b4+152"	"0.961"	"T2b4+152"	"0.946"	"31"	"31"	"0"	"0"	" "	" "	"0"	""
"HG00357.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"27"	"10"	"1299"	"U5b1b2a"	"0.965"	"U5b1b2a"	"0.945"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG00358.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"26"	"9"	"2360"	"U5b1b1a"	"1.000"	"U5b1b1a"	"0.941"	"26"	"26"	"0"	"0"	" "	" "	"0"	""
"HG00360.mapped.ILLUMINA.bwa.FIN.low_coverage.20130415.bam"	"NO"	"8"	"9"	"2521"	"H2a1"	"0.939"	"H2a1"	"0.886"	"6"	"6"	"0"	"0"	" "	" "	"0"	""
"HG00361.mapped.ILLUMINA.bwa.FIN.low_coverage.20120522.bam"	"NO"	"11"	"15"	"1700"	"H1b1i"	"0.965"	"H1b1i"	"0.969"	"10"	"10"	"0"	"0"	" "	" "	"0"	""
